Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
chelsea fc,31,24.9,24,10.69,331.48,1,57,95,2004,0.9323308270676691,0.7560975609756098,0.9473083507704012,0.8736842105263157,1.1822660098522166,0.8275862068965517,3.086473220730475,1.0,2.840287387591951,1.0
manchester united,37,24.7,25,7.93,293.23,3,32,77,2004,1.112781954887218,0.9024390243902439,0.9396994483545746,0.8666666666666667,1.2315270935960592,0.8620689655172413,2.289591453731774,0.7418147801683816,2.5125421463243263,0.88460842283094
arsenal fc,37,23.9,29,6.68,247.0,2,51,83,2004,1.112781954887218,0.9024390243902439,0.9092638386912686,0.8385964912280701,1.4285714285714286,1.0,1.9286848563591743,0.6248830682881198,2.116420250800084,0.7451429950524918
liverpool fc,38,25.3,26,5.85,222.13,5,11,58,2004,1.1428571428571428,0.926829268292683,0.9625261556020543,0.887719298245614,1.2807881773399015,0.896551724137931,1.6890428757037679,0.5472404115996258,1.9033215802033305,0.6701158440931579
tottenham hotspur,38,25.3,22,3.41,129.45,9,6,52,2004,1.1428571428571428,0.926829268292683,0.9625261556020543,0.887719298245614,1.083743842364532,0.7586206896551724,0.9845531976324529,0.31898971000935455,1.1091927184861168,0.39052129841921074
newcastle united,31,26.1,14,4.06,125.9,14,-10,44,2004,0.9323308270676691,0.7560975609756098,0.9929617652653604,0.9157894736842106,0.689655172413793,0.4827586206896552,1.1722246282662048,0.3797942001870907,1.0787745326952656,0.37981175334861833
birmingham city,38,26.8,21,2.81,106.93,12,-6,45,2004,1.1428571428571428,0.926829268292683,1.0195929237207533,0.9403508771929825,1.0344827586206897,0.7241379310344828,0.8113180308936048,0.26286248830682885,0.9162300300326032,0.3225835646192832
middlesbrough fc,34,26.0,14,2.81,95.48,7,7,55,2004,1.0225563909774436,0.8292682926829268,0.9891573140574471,0.9122807017543859,0.689655172413793,0.4827586206896552,0.8113180308936048,0.26286248830682885,0.8181206702283078,0.28804151080004825
manchester city,34,26.7,21,2.77,94.3,8,8,52,2004,1.0225563909774436,0.8292682926829268,1.0157884725128399,0.9368421052631579,1.0344827586206897,0.7241379310344828,0.7997690197776816,0.25912067352666046,0.8080098366414895,0.2844817183540485
southampton fc,41,26.5,25,2.08,85.48,20,-21,32,2004,1.2330827067669172,1.0,1.0081795700970133,0.9298245614035088,1.2315270935960592,0.8620689655172413,0.6005485780280064,0.19457436856875587,0.7324356398315433,0.25787377820683
