Team,Squad_Size_Normalized_by_Avg,Average_Market_Value_Normalized_by_Avg
arsenal fc,0.9090909090909091,2.3777478689995513
manchester city,0.9454545454545454,2.11978465679677
liverpool fc,0.9454545454545454,1.930462090623598
chelsea fc,1.1272727272727272,1.5580978017048004
tottenham hotspur,1.0545454545454545,1.3786451323463438
manchester united,0.9454545454545454,1.2480933153880664
newcastle united,1.018181818181818,1.0560789591745177
nottingham forest,1.018181818181818,0.9066846119336026
aston villa,0.8363636363636363,1.0668461193360252
brighton & hove albion,0.9454545454545454,0.797218483624944
crystal palace,1.018181818181818,0.6828174069089278
brentford fc,1.1272727272727272,0.5675190668461194
afc bournemouth,1.018181818181818,0.6137281292059219
west ham united,0.9454545454545454,0.6415432929564828
everton fc,0.8727272727272727,0.6890982503364738
fulham fc,0.8727272727272727,0.6307761327949754
wolverhampton wanderers,0.9818181818181818,0.5446388515029161
leeds united,0.9454545454545454,0.5114401076716016
sunderland afc,1.309090909090909,0.3615971287572903
burnley fc,1.1636363636363636,0.3171825930910723
