Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year
chelsea fc,31,24.9,24,10.69,331.48,1,57,95,2004
manchester united,37,24.7,25,7.93,293.23,3,32,77,2004
arsenal fc,37,23.9,29,6.68,247.0,2,51,83,2004
liverpool fc,38,25.3,26,5.85,222.13,5,11,58,2004
tottenham hotspur,38,25.3,22,3.41,129.45,9,6,52,2004
newcastle united,31,26.1,14,4.06,125.9,14,-10,44,2004
birmingham city,38,26.8,21,2.81,106.93,12,-6,45,2004
middlesbrough fc,34,26.0,14,2.81,95.48,7,7,55,2004
manchester city,34,26.7,21,2.77,94.3,8,8,52,2004
southampton fc,41,26.5,25,2.08,85.48,20,-21,32,2004
aston villa,26,25.2,16,3.24,84.18,10,-7,47,2004
everton fc,26,27.5,15,2.86,74.28,4,-1,61,2004
blackburn rovers,33,28.0,24,2.23,73.7,15,-11,42,2004
fulham fc,34,26.4,23,1.92,65.23,13,-8,44,2004
portsmouth fc,37,26.6,24,1.73,64.0,16,-16,39,2004
bolton wanderers,29,28.5,20,2.19,63.58,6,5,58,2004
charlton athletic,26,27.1,15,2.22,57.8,11,-16,46,2004
west bromwich albion,32,27.6,19,1.58,50.4,17,-25,34,2004
crystal palace,35,25.4,17,1.1,38.53,18,-21,33,2004
norwich city,28,27.2,12,1.11,31.05,19,-35,33,2004
chelsea fc,30,25.3,21,12.11,363.43,1,50,91,2005
manchester united,34,25.4,21,7.49,254.58,2,38,83,2005
arsenal fc,37,24.1,30,6.28,232.33,4,37,67,2005
liverpool fc,37,24.9,27,5.85,216.35,3,32,82,2005
tottenham hotspur,32,26.3,16,4.82,154.33,5,15,65,2005
newcastle united,32,26.5,13,4.7,150.48,7,5,58,2005
middlesbrough fc,39,25.8,18,2.42,94.38,14,-10,45,2005
everton fc,31,27.4,19,3.0,92.92,11,-15,50,2005
manchester city,32,26.3,17,2.87,91.9,15,-5,43,2005
aston villa,31,25.6,18,2.89,89.6,16,-13,42,2005
portsmouth fc,36,27.5,29,2.39,86.13,17,-25,38,2005
charlton athletic,36,26.6,21,2.29,82.43,13,-14,47,2005
birmingham city,33,27.1,18,2.48,81.83,18,-22,34,2005
fulham fc,33,27.7,24,2.15,70.88,12,-10,48,2005
west bromwich albion,32,26.6,15,2.05,65.55,19,-27,30,2005
blackburn rovers,28,28.2,21,2.28,63.85,6,9,63,2005
west ham united,33,25.7,14,1.9,62.55,9,-3,55,2005
bolton wanderers,32,26.8,23,1.93,61.85,8,8,56,2005
wigan athletic,30,28.3,18,1.73,51.92,10,-7,51,2005
sunderland afc,31,25.2,20,1.11,34.35,20,-43,15,2005
chelsea fc,37,24.8,25,11.26,416.76,2,40,83,2006
arsenal fc,38,23.9,32,7.32,278.18,4,28,68,2006
manchester united,38,25.0,19,6.82,259.15,1,56,89,2006
liverpool fc,38,24.7,25,6.31,239.77,3,30,68,2006
tottenham hotspur,38,24.6,20,4.36,165.73,5,3,60,2006
newcastle united,35,25.7,23,4.19,146.55,13,-9,43,2006
aston villa,34,26.6,19,3.22,109.5,11,2,50,2006
everton fc,29,26.9,19,3.77,109.45,6,16,58,2006
west ham united,35,26.4,14,3.01,105.45,15,-24,41,2006
portsmouth fc,32,27.6,20,3.03,97.08,9,3,54,2006
middlesbrough fc,35,25.0,16,2.75,96.32,12,-5,46,2006
manchester city,34,25.9,18,2.63,89.25,14,-15,42,2006
fulham fc,37,27.7,29,2.29,84.68,16,-22,39,2006
blackburn rovers,31,27.9,24,2.55,78.9,10,-2,52,2006
wigan athletic,37,27.6,25,2.03,74.93,17,-22,38,2006
bolton wanderers,34,26.1,26,2.13,72.38,7,-5,56,2006
charlton athletic,37,26.3,25,1.93,71.47,19,-26,34,2006
sheffield united,43,26.9,20,1.01,43.36,18,-23,38,2006
watford fc,43,24.4,21,0.767,32.97,20,-30,28,2006
reading fc,38,24.9,26,0.865,32.88,8,5,55,2006
chelsea fc,39,25.7,25,11.14,434.35,2,39,85,2007
manchester united,38,25.2,21,9.33,354.55,1,58,87,2007
liverpool fc,41,24.0,26,7.45,305.65,4,39,76,2007
arsenal fc,35,23.3,30,7.5,262.4,3,43,83,2007
tottenham hotspur,38,24.9,21,5.8,220.5,11,5,46,2007
everton fc,32,25.8,18,4.85,155.3,5,22,65,2007
manchester city,36,24.9,24,4.17,150.1,9,-8,55,2007
portsmouth fc,33,27.0,22,4.28,141.3,8,8,57,2007
newcastle united,33,26.2,21,4.1,135.2,12,-20,43,2007
middlesbrough fc,34,25.0,15,3.56,120.9,13,-10,42,2007
west ham united,36,26.7,16,3.33,120.0,10,-8,49,2007
aston villa,25,25.7,11,4.48,112.1,6,20,60,2007
bolton wanderers,42,26.3,30,2.48,104.2,16,-18,37,2007
fulham fc,43,28.2,33,2.3,99.05,17,-22,36,2007
blackburn rovers,38,26.1,31,2.39,90.85,7,2,58,2007
sunderland afc,46,25.4,33,1.82,83.6,15,-23,39,2007
birmingham city,33,25.2,23,2.5,82.5,19,-16,35,2007
wigan athletic,35,27.3,23,2.22,77.75,14,-17,40,2007
reading fc,43,25.4,30,1.53,65.93,18,-25,36,2007
derby county,41,27.3,23,1.23,50.4,20,-69,11,2007
chelsea fc,33,26.9,24,13.59,448.55,3,44,83,2008
manchester united,42,24.4,26,10.14,425.95,1,44,90,2008
liverpool fc,33,25.3,27,10.39,342.85,2,50,86,2008
arsenal fc,41,22.6,31,7.6,311.45,4,31,72,2008
tottenham hotspur,43,24.3,24,6.48,278.8,8,0,51,2008
manchester city,39,25.1,27,6.62,258.35,10,8,50,2008
everton fc,32,25.3,16,5.95,190.33,5,18,63,2008
aston villa,35,25.3,16,4.5,157.35,6,6,62,2008
portsmouth fc,36,28.2,22,4.24,152.6,14,-19,41,2008
newcastle united,38,25.2,22,3.54,134.55,18,-19,34,2008
west ham united,40,25.8,20,3.35,133.9,9,-3,51,2008
sunderland afc,44,26.0,29,2.51,110.3,16,-20,36,2008
wigan athletic,35,27.0,22,2.96,103.75,11,-11,45,2008
blackburn rovers,36,26.7,27,2.53,91.2,15,-20,41,2008
middlesbrough fc,33,23.8,14,2.59,85.45,19,-29,32,2008
fulham fc,38,26.8,24,2.21,83.85,7,5,53,2008
bolton wanderers,33,26.4,20,2.47,81.65,13,-12,41,2008
west bromwich albion,35,25.4,25,1.89,66.1,20,-31,32,2008
hull city,35,28.5,17,1.85,64.7,17,-25,35,2008
stoke city,38,27.4,19,1.67,63.45,12,-17,45,2008
chelsea fc,36,26.4,27,12.55,451.95,1,71,86,2009
manchester united,40,25.5,25,9.62,384.88,2,58,85,2009
liverpool fc,34,25.2,25,9.75,331.55,7,26,63,2009
arsenal fc,45,23.2,31,6.98,314.3,3,42,75,2009
manchester city,40,25.6,25,7.81,312.5,5,28,67,2009
tottenham hotspur,41,24.9,20,6.43,263.53,4,26,70,2009
everton fc,42,24.6,23,5.21,218.93,8,11,61,2009
aston villa,31,27.1,14,5.4,167.38,6,13,64,2009
sunderland afc,38,26.1,26,3.46,131.58,13,-8,44,2009
west ham united,35,25.3,20,3.48,121.75,17,-19,35,2009
fulham fc,41,27.0,26,2.47,101.18,12,-7,46,2009
portsmouth fc,45,27.0,29,2.15,96.65,20,-32,19,2009
blackburn rovers,35,26.8,29,2.62,91.63,10,-14,50,2009
bolton wanderers,32,26.9,18,2.68,85.8,14,-25,39,2009
stoke city,39,27.0,18,2.07,80.7,11,-14,47,2009
wigan athletic,36,26.6,27,2.16,77.6,16,-42,36,2009
hull city,37,27.6,23,1.98,73.2,19,-41,30,2009
birmingham city,36,27.1,19,1.93,69.65,9,-9,50,2009
wolverhampton wanderers,37,25.7,21,1.77,65.48,15,-24,38,2009
burnley fc,33,26.5,20,1.46,48.15,18,-40,30,2009
chelsea fc,33,25.9,23,12.85,424.1,2,36,71,2010
manchester city,45,24.9,28,8.98,404.18,3,27,71,2010
manchester united,43,25.7,29,9.02,388.0,1,41,80,2010
liverpool fc,42,24.9,25,8.08,339.2,6,15,58,2010
arsenal fc,34,24.8,27,9.53,324.0,4,29,68,2010
tottenham hotspur,38,26.3,22,8.08,307.08,5,9,62,2010
aston villa,39,26.7,21,5.2,202.8,9,-11,48,2010
everton fc,32,25.4,21,5.76,184.48,7,6,54,2010
sunderland afc,39,25.2,20,3.83,149.33,10,-11,47,2010
west ham united,40,26.4,24,3.47,138.75,20,-27,33,2010
newcastle united,38,25.2,17,3.14,119.48,12,-1,46,2010
fulham fc,34,28.9,27,3.22,109.55,8,6,49,2010
bolton wanderers,34,26.9,18,2.95,100.15,14,-4,46,2010
