Name,Position,Market Value,Year,Team
Petr Cech,Goalkeeper,€20.00m,2004,chelsea fc
Carlo Cudicini,Goalkeeper,€4.00m,2004,chelsea fc
Lenny Pidgeley,Goalkeeper,€100k,2004,chelsea fc
Yves Makabu-Makalambay,Goalkeeper,€75k,2004,chelsea fc
Ricardo Carvalho,Centre-Back,€24.50m,2004,chelsea fc
John Terry,Centre-Back,€24.00m,2004,chelsea fc
William Gallas,Centre-Back,€9.50m,2004,chelsea fc
Jiri Jarosik,Centre-Back,€6.50m,2004,chelsea fc
Robert Huth,Centre-Back,€3.50m,2004,chelsea fc
Steven Watt,Centre-Back,€50k,2004,chelsea fc
Wayne Bridge,Left-Back,€9.00m,2004,chelsea fc
Celestine Babayaro,Left-Back,€3.50m,2004,chelsea fc
Paulo Ferreira,Right-Back,€16.00m,2004,chelsea fc
Glen Johnson,Right-Back,€7.00m,2004,chelsea fc
Claude Makélélé,Defensive Midfield,€12.50m,2004,chelsea fc
Aleksey Smertin,Defensive Midfield,€6.50m,2004,chelsea fc
Nuno Morais,Defensive Midfield,€750k,2004,chelsea fc
Frank Lampard,Central Midfield,€32.00m,2004,chelsea fc
Scott Parker,Central Midfield,€11.00m,2004,chelsea fc
Tiago Mendes,Central Midfield,€10.00m,2004,chelsea fc
Anthony Grant,Central Midfield,€50k,2004,chelsea fc
Njitap Geremi,Other,€8.50m,2004,chelsea fc
Joe Cole,Attacking Midfield,€9.00m,2004,chelsea fc
Adrian Mutu,Left Winger,€11.00m,2004,chelsea fc
Arjen Robben,Right Winger,€24.00m,2004,chelsea fc
Damien Duff,Right Winger,€17.00m,2004,chelsea fc
Filipe Oliveira,Right Winger,€450k,2004,chelsea fc
Didier Drogba,Centre-Forward,€31.00m,2004,chelsea fc
Mateja Kežman,Centre-Forward,€13.50m,2004,chelsea fc
Eidur Gudjohnsen,Centre-Forward,€9.50m,2004,chelsea fc
Mikael Forssell,Centre-Forward,€7.00m,2004,chelsea fc
Tim Howard,Goalkeeper,€3.00m,2004,manchester united
Roy Carroll,Goalkeeper,€2.50m,2004,manchester united
Luke Steele,Goalkeeper,€1.50m,2004,manchester united
Ricardo,Goalkeeper,€1.00m,2004,manchester united
Rio Ferdinand,Centre-Back,€29.50m,2004,manchester united
Gabriel Heinze,Centre-Back,€14.50m,2004,manchester united
John O'Shea,Centre-Back,€5.00m,2004,manchester united
Wes Brown,Centre-Back,€4.50m,2004,manchester united
Gerard Piqué,Centre-Back,€2.30m,2004,manchester united
Jonathan Spector,Centre-Back,€1.25m,2004,manchester united
Paul McShane,Centre-Back,€100k,2004,manchester united
Mikaël Silvestre,Left-Back,€7.50m,2004,manchester united
Quinton Fortune,Left-Back,€3.00m,2004,manchester united
Kieran Richardson,Left-Back,€500k,2004,manchester united
Gary Neville,Right-Back,€7.25m,2004,manchester united
Phil Neville,Right-Back,€5.00m,2004,manchester united
Phil Bardsley,Right-Back,€75k,2004,manchester united
Eric Djemba Djemba,Defensive Midfield,€4.50m,2004,manchester united
Floribert N'Galula,Defensive Midfield,€250k,2004,manchester united
Paul Scholes,Central Midfield,€21.50m,2004,manchester united
Roy Keane,Central Midfield,€14.00m,2004,manchester united
Alan Smith,Central Midfield,€10.50m,2004,manchester united
Kléberson,Central Midfield,€5.50m,2004,manchester united
Darren Fletcher,Central Midfield,€5.50m,2004,manchester united
Liam Miller,Central Midfield,€1.75m,2004,manchester united
David Jones,Central Midfield,€400k,2004,manchester united
Ryan Giggs,Other,€19.50m,2004,manchester united
Chris Eagles,Right Winger,€500k,2004,manchester united
Ruud van Nistelrooy,Centre-Forward,€40.00m,2004,manchester united
Wayne Rooney,Centre-Forward,€31.00m,2004,manchester united
Cristiano Ronaldo,Centre-Forward,€22.80m,2004,manchester united
Louis Saha,Centre-Forward,€15.50m,2004,manchester united
Diego Forlán,Centre-Forward,€5.50m,2004,manchester united
Ole Gunnar Solskjær,Centre-Forward,€2.75m,2004,manchester united
David Bellion,Centre-Forward,€2.25m,2004,manchester united
Giuseppe Rossi,Centre-Forward,€750k,2004,manchester united
Sylvan Ebanks-Blake,Centre-Forward,€300k,2004,manchester united
Jens Lehmann,Goalkeeper,€3.15m,2004,arsenal fc
Stuart Taylor,Goalkeeper,€1.00m,2004,arsenal fc
Manuel Almunia,Goalkeeper,€900k,2004,arsenal fc
Chris Wright,Goalkeeper,€50k,2004,arsenal fc
Michael Jordan,Goalkeeper,-,2004,arsenal fc
Sol Campbell,Centre-Back,€20.50m,2004,arsenal fc
Kolo Touré,Centre-Back,€7.25m,2004,arsenal fc
Pascal Cygan,Centre-Back,€2.00m,2004,arsenal fc
Philippe Senderos,Centre-Back,€1.50m,2004,arsenal fc
Johan Djourou,Centre-Back,-,2004,arsenal fc
Ashley Cole,Left-Back,€19.50m,2004,arsenal fc
Gaël Clichy,Left-Back,€1.75m,2004,arsenal fc
Daniel Karbassiyoon,Left-Back,€150k,2004,arsenal fc
Laurén,Right-Back,€6.50m,2004,arsenal fc
Emmanuel Eboué,Right-Back,€2.20m,2004,arsenal fc
Justin Hoyte,Right-Back,€750k,2004,arsenal fc
Frank Simek,Right-Back,€75k,2004,arsenal fc
Patrick Vieira,Defensive Midfield,€35.00m,2004,arsenal fc
Gilberto Silva,Defensive Midfield,€7.00m,2004,arsenal fc
Mathieu Flamini,Defensive Midfield,€3.00m,2004,arsenal fc
Sebastian Svärd,Defensive Midfield,€700k,2004,arsenal fc
Jordan Fowler,Other,€50k,2004,arsenal fc
Cesc Fàbregas,Central Midfield,€7.50m,2004,arsenal fc
Edú Gaspar,Central Midfield,€5.75m,2004,arsenal fc
Sebastian Larsson,Central Midfield,€175k,2004,arsenal fc
Patrick Cregg,Central Midfield,-,2004,arsenal fc
Freddie Ljungberg,Other,€17.00m,2004,arsenal fc
Robert Pirès,Other,€18.50m,2004,arsenal fc
Ryan Smith,Left Winger,€50k,2004,arsenal fc
Quincy Owusu-Abeyie,Left Winger,-,2004,arsenal fc
José Antonio Reyes,Right Winger,€24.50m,2004,arsenal fc
Jermaine Pennant,Right Winger,€4.00m,2004,arsenal fc
Dennis Bergkamp,Other,€3.00m,2004,arsenal fc
Thierry Henry,Centre-Forward,€45.00m,2004,arsenal fc
Robin van Persie,Centre-Forward,€6.00m,2004,arsenal fc
Jérémie Aliadière,Centre-Forward,€1.25m,2004,arsenal fc
Arturo Lupoli,Centre-Forward,€1.25m,2004,arsenal fc
Jerzy Dudek,Goalkeeper,€4.50m,2004,liverpool fc
Chris Kirkland,Goalkeeper,€4.50m,2004,liverpool fc
Scott Carson,Goalkeeper,€1.50m,2004,liverpool fc
Paul Harrison,Goalkeeper,€125k,2004,liverpool fc
Patrice Luzi,Goalkeeper,€100k,2004,liverpool fc
Jamie Carragher,Centre-Back,€7.50m,2004,liverpool fc
Sami Hyypiä,Centre-Back,€6.75m,2004,liverpool fc
Stéphane Henchoz,Centre-Back,€3.25m,2004,liverpool fc
Josemi,Centre-Back,€3.25m,2004,liverpool fc
Mauricio Pellegrino,Centre-Back,€2.00m,2004,liverpool fc
Djimi Traoré,Centre-Back,€2.00m,2004,liverpool fc
Zak Whitbread,Centre-Back,€250k,2004,liverpool fc
John Arne Riise,Left-Back,€12.50m,2004,liverpool fc
Stephen Warnock,Left-Back,€100k,2004,liverpool fc
Steve Finnan,Right-Back,€4.00m,2004,liverpool fc
David Raven,Right-Back,€150k,2004,liverpool fc
Xabi Alonso,Defensive Midfield,€15.00m,2004,liverpool fc
Dietmar Hamann,Defensive Midfield,€5.50m,2004,liverpool fc
Salif Diao,Defensive Midfield,€5.00m,2004,liverpool fc
Igor Biscan,Defensive Midfield,€4.50m,2004,liverpool fc
Steven Gerrard,Central Midfield,€30.00m,2004,liverpool fc
John Welsh,Central Midfield,€250k,2004,liverpool fc
Darren Potter,Central Midfield,€100k,2004,liverpool fc
Richie Partridge,Other,€300k,2004,liverpool fc
